Word,Sentence,Correct Sense,Definition,
Altar,The ancient altar was carved from stone.,Monument,Ceremonial stone structure,
Altitude,The aircraft reached high altitude quickly.,Height,Vertical distance above sea level,
Altitude,Mountain altitude affects breathing.,Elevation Condition,Level of height in terrain,
Amalgamation,The firms completed a full amalgamation.,Merger,Joining of entities,
Amalgamation,The alloy is an amalgamation of metals.,Mixture,Combination of substances,
Amber,The insect was preserved in amber.,Fossil Resin,Hardened tree resin,
Amber,The traffic light turned amber before red.,Signal Color,Yellow-orange warning light,
Ambition,Her ambition is to become a doctor.,Goal,A strong desire to achieve something.,
Ambition,The project showed great ambition.,Scope,Boldness or scale of a plan.,
Amphibology,The sentence shows amphibology in grammar.,Ambiguity,Unclear meaning,
Amphibology,The writer used amphibology intentionally.,Linguistic Device,Double-meaning structure,
Amulet,She wore an amulet for protection.,Charm,Object believed to protect,
Amulet,The ancient amulet was made of stone.,Artifact,Protective ornament,
Anagram,“Listen” is an anagram of “silent.”,Word Form,Rearranged letters forming another word,
Anagram,The puzzle required finding an anagram.,Game,Word rearrangement task,
Analyst,The analyst reviewed market trends.,Profession,Person who studies data,
Analyst,The analyst reported findings to management.,Role,Data interpreter,
Anatomy,She studied animal anatomy in class.,Biological Structure,Body structure study,
Anatomy,The anatomy of the machine was explained.,Structural Breakdown,Internal organization,
Anchor,The ship dropped its anchor.,Ship Device,A heavy object used to secure a vessel.,
Anchor,She works as a news anchor.,Broadcaster,A presenter of news programs.,
Anchorite,The monk lived as an anchorite.,Hermit,A person living in isolation.,
Anchorite,The story described the anchorite’s lifestyle.,Religious Figure,A person devoted to solitary spiritual practice.,
Anchorite,The anchorite avoided society.,Isolated Person,Someone who lives alone.,
Anchorite,The anchorite lived in solitude.,Hermit,Religious recluse,
Anchorite,Medieval texts describe an anchorite’s life.,Person Type,Spiritual solitary figure,
Angle,Measure the angle carefully.,Geometric Figure,The space between two intersecting lines.,
Angle,The reporter approached the story from a new angle.,Perspective,A particular viewpoint.,
Angle,Measure the angle carefully.,Geometric Figure,Space between intersecting lines.,
Angle,Reporters looked for a new angle.,Perspective,A particular viewpoint.,
Angle,The triangle has a right angle.,Geometry,Space between two lines,
Angle,He changed his angle in the argument.,Perspective,Point of view,
Animal,The animal escaped the cage.,Living Creature,A non-human living organism.,
Animal,He has strong animal instincts.,Primitive Nature,Basic natural behavior.,
Annals,The event is recorded in the annals of history.,Record,Historical chronicles,
Annals,Scholars studied medieval annals.,Archive,Yearly historical records,
Annex,The city built an annex to the school.,Extension,Additional building,
Annex,The territory was annexed by the empire.,Action,Act of incorporation,
Annotation,Add an annotation to the image.,Note,Explanatory comment.,
Annotation,The annotation process took hours.,Action,Act of adding notes.,
Anonymity,The writer preserved anonymity.,State,Condition of being unnamed,
Anonymity,Online anonymity can protect identity.,Concept,Lack of identification,
Answer,She knew the answer immediately.,Solution,A response to a question.,
Answer,He did not answer the phone.,Reply,To respond to communication.,
Ant,The ant carried food back to its nest.,Insect,A small social creature with six legs.,
Ant,The scientist studied the ant colony.,Animal Group,A community of insects living together.,
Antagonism,There is antagonism between the groups.,Hostility,Active opposition,
Antagonism,Drug antagonism reduces effectiveness.,Biological Interaction,Opposing chemical action,
Antecedence,The antecedence of the rule is unclear.,Priority,Earlier occurrence,
Antecedence,Legal antecedence affects interpretation.,Sequence,Condition of preceding,
Antenna,The insect moved its antenna.,Sensory Organ,Feelers on insects.,
Antenna,The antenna receives signals.,Receiving Device,Equipment for communication signals.,
Anthropology,Anthropology studies human cultures.,Science Field,Study of humans,
Anthropology,She majored in anthropology.,Discipline,Academic study of societies,
Antique,The vase is a valuable antique.,Old Object,A collectible item from the past.,
Antique,They sell antique furniture.,Historical Style,Relating to old objects.,
Aperture,Adjust the camera aperture.,Camera Opening,Opening through which light passes.,
Aperture,The wall has a small aperture.,Opening,A hole or gap.,
Aperture,The camera aperture controls light entry.,Opening,Adjustable hole in lens system,
Aperture,The telescope aperture determines clarity.,Optical Feature,Light-gathering opening,
Aphelion,The planet reached aphelion in its orbit.,Orbital Point,Farthest distance from sun,
Aphelion,Scientists measured Earth’s aphelion precisely.,Astronomical Term,Orbital maximum distance,
Aphorism,The book contains many aphorisms.,Saying,Short philosophical statement,
Aphorism,His speech included a famous aphorism.,Expression,Concise wisdom phrase,
Apiarist,The apiarist maintained several hives.,Profession,Beekeeper,
Apiarist,The apiarist harvested honey seasonally.,Role,Person managing bees,
Apocrypha,The apocrypha includes disputed texts.,Literature,Non-canonical writings,
Apocrypha,Scholars debated the apocrypha’s authenticity.,Collection,Doubtful historical texts,
Apogee,The spacecraft reached apogee in orbit.,Orbital Point,Farthest point in orbit,
Apogee,The project reached its apogee of success.,Peak,Highest point of achievement,
Apostate,The apostate left the religious order.,Dissenter,One who abandons belief,
Apostate,Historical records mention an apostate leader.,Figure,Someone who renounces doctrine,
Apotheosis,The hero’s story reached apotheosis.,Elevation,Highest development,
Apotheosis,The painting shows the apotheosis of victory.,Glorification,Idealized transformation,
Apparatus,The laboratory apparatus is expensive.,Equipment,Tools used for experiments.,
Apparatus,The state apparatus expanded.,Organization,Administrative structure.,
Apparatus,The laboratory apparatus was complex.,Equipment System,Set of tools,
Apparatus,The political apparatus controls decisions.,System,Organized structure,
Appeal,The lawyer filed an appeal.,Legal Request,A request for a higher court review.,
Appeal,The product has broad appeal.,Attractiveness,The quality of being appealing.,
Appealer,The appealer submitted new evidence.,Legal Petitioner,One who requests reconsideration.,
Appealer,The charity appealer spoke to donors.,Requester,One who makes an appeal.,
Appeasement,The policy of appeasement failed.,Concession,Act of calming by yielding,
Appeasement,Historical appeasement led to conflict escalation.,Strategy,Diplomatic submission,
Appendage,The crab’s appendage moved rapidly.,Limb,Body extension,
Appendage,The document includes an appendage section.,Addition,Supplementary part,
Appetite,Running increased her appetite.,Hunger,Desire for food.,
Appetite,He has an appetite for risk.,Desire,A strong liking for something.,
Apple,She ate a red apple after lunch.,Fruit,A round edible fruit that grows on trees.,
Apple,The company released a new device this year.,Technology Company,A business that creates electronic products and software.,
Apple,She ate an apple after lunch.,Fruit,The edible fruit of an apple tree.,
Apple,Apple announced a new product.,Company,A technology corporation.,
Application,Submit your application online.,Request,Formal submission for consideration.,
Application,This application runs on Android.,Software,A computer program.,
Apportionment,The apportionment of resources was fair.,Distribution,Allocation of shares,
Apportionment,Legal apportionment determined liability.,Division,Assignment of portions,
Appraisal,The appraisal valued the property.,Evaluation,Assessment of worth,
Appraisal,The performance appraisal was positive.,Review,Formal evaluation,
Apprehension,She felt apprehension before the exam.,Anxiety,Feeling of worry,
Apprehension,The suspect’s apprehension was recorded.,Arrest,Act of capturing,
Apprentice,The apprentice learned quickly.,Trainee,A beginner learning a trade.,
Apprentice,He worked as an apprentice electrician.,Occupation Learner,A worker in training.,
Apricot,She ate a ripe apricot after lunch.,Fruit,A small orange-colored fruit.,
Apricot,The farmer planted an apricot tree.,Plant Source,A tree that produces fruit.,
Apron,The chef wore an apron while cooking.,Clothing,A protective garment worn over clothes.,
Apron,The painter used an apron to protect clothing.,Cover,Something used to prevent stains.,
Apron,The worker wore an apron in the kitchen.,Protective Clothing,Clothing used to protect the body.,
Apse,The apse of the cathedral was decorated.,Architecture,Semicircular recess,
Apse,The apse contained stained glass windows.,Structure Part,Curved end of building,
Aquarium,The child visited the aquarium.,Facility,A place where aquatic animals are kept.,
Aquarium,The scientist cleaned the aquarium tank.,Container,A glass structure holding water animals.,
Aquarium,The aquarium contained colorful fish.,Tank,A container for aquatic life.,
Arcade,They played games inside the arcade.,Entertainment Place,A location with games and activities.,
Arcade,The building had a covered arcade walkway.,Passage,A covered area with arches.,
Arcade,Children played games in the arcade.,Game Center,A place with amusement machines.,
Arcade,The building featured a stone arcade.,Arches,A series of connected arches.,
Arch,The bridge had a stone arch.,Structure,A curved support in construction.,
Arch,The athlete lifted his foot arch.,Body Shape,A curved part of the body.,
Archery,She practiced archery every weekend.,Sport,The activity of shooting arrows.,
Archery,The coach taught archery techniques.,Skill,Ability to use a bow and arrow.,
Architecture,The city's architecture is impressive.,Building Design,Style and design of structures.,
Architecture,Computer architecture affects performance.,System Design,Structure of a computer system.,
Archive,The library keeps an archive of newspapers.,Collection,A stored collection of records.,
Archive,Please archive the old emails.,Store,To place records in long-term storage.,
Archive,The documents were placed in an archive.,Record Collection,Stored historical materials.,
Archivebox,The documents were placed in an archive box.,Storage Container,A box for preserving records.,
Archivebox,The archive box was labeled by year.,Filing Unit,Organizational storage item.,
Arena,The players entered the arena.,Venue,A place for sports or events.,
Arena,The debate became a political arena.,Field Of Activity,An area where activities occur.,
Argument,They had an argument yesterday.,Dispute,A disagreement between people.,
Argument,Her argument was convincing.,Reasoning,A set of supporting reasons.,
Arm,He injured his left arm during the basketball game.,Body Part,An upper limb of the human body from the shoulder to the wrist,
Arm,The country decided to arm its border security guards.,Equip With Weapons,Supply with weapons or firearms for defense or warfare,
Arm,The arm of the chair is broken.,Furniture Part,A side support on a chair.,
Armor,The knight wore armor.,Protective Covering,Defensive equipment for protection.,
Armor,The tank's armor resisted damage.,Military Shielding,Protective metal plating.,
Aroma,The aroma filled the kitchen.,Smell,A pleasant scent.,
Aroma,Coffee has a rich aroma.,Fragrance Quality,Characteristic smell of something.,
Arrangement,The arrangement of chairs looked neat.,Organization,The way things are positioned.,
Arrangement,They reached an arrangement.,Agreement,A mutually accepted plan.,
Array,The store displayed an array of products.,Assortment,A large collection.,
Array,Create an array in Python.,Data Structure,Ordered collection of elements.,
Arrest,The officer made an arrest.,Detention,Taking someone into custody.,
Arrest,The drug can arrest the infection.,Stop,To halt progress.,
Arrival,The train's arrival was delayed.,Coming,The act of reaching a place.,
Arrival,Her arrival excited the crowd.,Newcomer Appearance,Entry or appearance at a location.,
Arrow,The hunter released an arrow toward the target.,Projectile,A pointed object shot from a bow.,
Arrow,The diagram used an arrow to show direction.,Symbol,A mark showing movement or relation.,
Article,She wrote a journal article.,Publication,A written composition.,
Article,The noun is preceded by an article.,Grammar Term,"A word like ""a"" or ""the"".",
Articulation,Her articulation is excellent.,Speech Clarity,Clear pronunciation.,
Articulation,The knee is an articulation.,Joint,Connection between bones.,
Artifact,The museum displays artifacts.,Historical Object,Item from the past.,
Artifact,Compression created image artifacts.,Distortion,Unwanted visual defect.,
Artist,The artist painted landscapes.,Creator,A person who creates art.,
Artist,He is a makeup artist.,Skilled Practitioner,Someone skilled in a craft.,
Ascent,The ascent took three hours.,Climb,The act of going upward.,
Ascent,His ascent to leadership was rapid.,Advancement,Rise to a higher position.,
Ash,The fire left ash on the ground.,Residue,Powdery remains after burning.,
Ash,Ash was used as a name for the character.,Name,A personal name.,
Ash,Ash covered the fireplace floor.,Residue,Powder left after burning.,
Ash,An ash tree grows nearby.,Tree,A type of hardwood tree.,
Aspect,Safety is an important aspect of the job.,Feature,A particular characteristic.,
Aspect,The house has a southern aspect.,Orientation,The direction something faces.,
Assembly,The parts moved to assembly.,Manufacturing Process,Putting components together.,
Assembly,The school assembly starts at 8.,Gathering,A meeting of people.,
Assembly,The students attended an assembly.,Gathering,A meeting of people.,
Assembly,The assembly of parts took hours.,Construction,Putting components together.,
Assemblyman,The assemblyman proposed legislation.,Politician,Member of a legislative assembly.,
Assemblyman,The assemblyman addressed voters.,Representative,Elected official.,
Asset,The building is a valuable asset.,Resource,Something of value.,
Asset,Her creativity is an asset.,Advantage,A useful quality.,
Assistant,The assistant prepared the documents.,Helper,A person who assists another.,
Assistant,The virtual assistant set a reminder.,Software,A digital helper program.,
Associate,She is an associate at the firm.,Colleague,A partner or coworker.,
Associate,I associate rain with comfort.,Connect,To link mentally.,
Assurance,She gave assurance of support.,Promise,A declaration intended to inspire confidence.,
Assurance,He spoke with assurance.,Confidence,Self-confidence in manner.,
Asteroid,The telescope detected an asteroid in space.,Space Object,A rocky body orbiting the sun.,
Asteroid,Scientists tracked the asteroid path.,Celestial Body,An object found in outer space.,
Asteroid,The asteroid moved through space.,Celestial Object,A rocky object beyond earth.,
Asteroid,The astronomer observed an asteroid.,Planet-Like Object,A rocky object in space.,
Atlas,The student used an atlas for geography class.,Map Collection,A book containing maps.,
Atlas,The museum displayed an ancient atlas.,Historical Document,An old collection of geographic information.,
Atlas,She consulted an atlas.,Map Book,A collection of maps.,
Atlas,Atlas appears in Greek myths.,Mythological Figure,A titan in mythology.,
Atom,The lesson explained the structure of an atom.,Particle,The smallest unit of an element.,
Atom,The scientist studied atoms in the experiment.,Matter Unit,A basic building block of matter.,
Attack,The soldiers launched an attack.,Assault,An aggressive action against a target.,
Attack,Acid can attack metal surfaces.,Damage,To harm gradually.,
Attraction,The museum is a tourist attraction.,Place Of Interest,Something that draws visitors.,
Attraction,There was mutual attraction.,Liking,A feeling of interest in someone.,
Attribute,Patience is a valuable attribute.,Characteristic,Quality or feature.,
Attribute,Scientists attribute success to effort.,Assign Cause,To regard as resulting from.,
Auction,The painting sold at auction.,Sale Event,A public sale to the highest bidder.,
Auction,They auction rare items online.,Selling Process,To sell by competitive bidding.,
Audience,The audience cheered loudly.,Spectators,People watching a performance.,
Audience,The advertisement targets a young audience.,Target Group,Intended recipients of a message.,
Audit,The company passed the audit.,Inspection,Official examination of records.,
Audit,She audited the course.,Educational Attendance,Attending without credit.,
Auditor,The auditor reviewed finances.,Inspector,Person examining records.,
Auditor,The auditorium seated many auditors.,Listener,Person attending a lecture.,
Author,The author wrote a mystery novel.,Writer,A person who creates written works.,
Author,The software credited its original author.,Creator,A person who made something.,
Author,The author signed copies of the book.,Writer,A person who writes works.,
Author,She is the author of the proposal.,Creator,The originator of something.,
Authority,The authority issued a permit.,Governing Body,Organization with power.,
Authority,She is an authority on linguistics.,Expert,A recognized specialist.,
Autumn,Autumn arrives after summer.,Season,The season before winter.,
Autumn,The hills displayed autumn colors.,Seasonal State,Characteristics associated with autumn.,
Avenue,Research is a possible avenue.,Approach,A means of achieving something.,
Avenue,The parade moved down the avenue.,Street,A broad road.,
Avenue,Research offers an avenue for discovery.,Means,A method of achieving something.,
Award,She received an award for excellence.,Prize,Recognition for achievement.,
Award,The court granted an award to the victim.,Compensation,Money given by legal judgment.,
Axis,The Earth rotates on its axis.,Imaginary Line,Central line of rotation.,
Axis,The graph shows the x-axis.,Coordinate Line,Reference line on a graph.,
Babble,The child began to babble excitedly.,Speech,Meaningless or early speech sounds,
Babble,The river continued to babble over rocks.,Sound,Continuous flowing noise,
Backing,The singer performed with backing vocals.,Support Music,Accompanying vocals.,
Backing,The proposal has government backing.,Support,Approval or assistance.,
Badge,The officer showed her badge.,Identification,An emblem showing authority or membership.,
Badge,Earning the badge unlocked a new level.,Award,A symbol of achievement.,
Badge,The officer showed her badge.,Identification,Official identification marker,
Badge,He earned a badge for bravery.,Emblem,Symbol of achievement,
Badgeholder,Every employee received a badgeholder.,Id Accessory,Item used to hold identification cards.,
Badgeholder,The badgeholder clipped it to her shirt.,Attachment Device,A holder for credentials.,
Badgeholder,The badgeholder entered the building.,Person Role,Person carrying identification,
Badgeholder,The badgeholder clip broke.,Object,Item holding a badge,
Bail,The court set bail at a high amount.,Legal Payment,Money for temporary release,
Bail,He had to bail water from the boat.,Action,Remove water manually,
Bait,The fisherman used bait to catch fish.,Lure,Substance used to attract animals,
Bait,The argument was just bait to provoke him.,Metaphor,Something meant to trigger reaction,
Bakery,The bakery sold fresh bread.,Shop,A place where baked goods are made or sold.,
Bakery,The smell came from the bakery kitchen.,Workplace,A location for baking food.,
Bakery,The bakery opened early.,Shop,Place where bread is made,
Bakery,The bakery smells of fresh bread.,Business,Food production place,
Balance,Balance the budget this month.,Equalize,To bring into equilibrium.,
Balance,She lost her balance.,Stability,Physical equilibrium.,
Balance,Check your balance online.,Account Amount,Money remaining in an account.,
Balance,She lost her balance while walking.,Stability,Ability to stay upright,
Balance,The balance in her account was low.,Financial State,Remaining amount of money,
Balance Sheet,The accountant reviewed the balance sheet.,Financial Statement,Record of assets and liabilities.,
Balance Sheet,The balance sheet looks healthy.,Business Record,Summary of financial position.,
Ball,The ball rolled across the floor.,Toy/Sports Object,A round object used in games.,
Ball,The royal ball lasted all night.,Formal Dance,A large social dance event.,
Ballad,The singer performed a romantic ballad.,Song,Narrative song,
Ballad,The medieval ballad told a tragic story.,Poem,Poetic narrative,
Ballast,The ship carries ballast.,Stabilizing Weight,Material used for balance.,
Ballast,The railway ballast supports tracks.,Track Material,Crushed stone beneath rails.,
Ballast,The ship added ballast for stability.,Weight,Material used for stability,
Ballast,Emotional ballast slowed his decisions.,Metaphor,Psychological burden,
Ballast,The train used ballast for stability.,Weight Material,Stabilizing substance,
Ballast,Emotional ballast slowed his decision.,Burden,Mental weight,
Ballastless,The railway uses a ballastless track.,Rail Design,Track without crushed stone support.,
Ballastless,Engineers studied ballastless systems.,Infrastructure Type,Railway construction method.,
Balloon,The child held a balloon at the party.,Inflatable Object,A flexible object filled with gas or air.,
Balloon,The scientist used a weather balloon.,Measuring Device,An object sent into the atmosphere for observation.,
Bamboo,The panda ate bamboo in the forest.,Plant,A tall grass with a woody stem.,
Bamboo,The artist made furniture from bamboo.,Material,A strong natural material from a plant.,
Band,He wore a wedding band.,Ring,A circular piece of jewelry.,
Band,A rubber band snapped.,Strip,A loop of elastic material.,
Band,The band played jazz music.,Music Group,Group of musicians.,
Band,A band of clouds covered the sky.,Strip,A narrow region.,
Bandage,She wrapped a bandage around her arm.,Medical Wrap,Cloth for wounds,
Bandage,The nurse replaced the bandage.,Dressing,Protective wound covering,
Bandwidth,The network needs more bandwidth.,Data Capacity,Data transfer capability.,
Bandwidth,I don't have the bandwidth for that task.,Mental Capacity,Available attention or effort.,
