ID,Word,Sentence,Correct Sense,Definition
46,bat,He swung the bat and connected with a powerful hit.,sports equipment,a club used to hit a ball in cricket or baseball
47,bat,She bought a new cricket bat before the season.,sports equipment,a club used to hit a ball in cricket or baseball
48,bat,The bat was made from a single piece of willow.,sports equipment,a club used to hit a ball in cricket or baseball
49,bat,He oiled his bat to keep the wood from cracking.,sports equipment,a club used to hit a ball in cricket or baseball
50,bat,The batter stepped up with the bat resting on his shoulder.,sports equipment,a club used to hit a ball in cricket or baseball
51,bat,She gripped the bat tightly as the pitcher wound up.,sports equipment,a club used to hit a ball in cricket or baseball
52,bat,The bat made a sharp crack as it hit the ball.,sports equipment,a club used to hit a ball in cricket or baseball
53,bat,His favorite bat was signed by a famous cricketer.,sports equipment,a club used to hit a ball in cricket or baseball
54,bat,The children practiced hitting with a foam bat.,sports equipment,a club used to hit a ball in cricket or baseball
55,bat,He left his bat in the locker room after the game.,sports equipment,a club used to hit a ball in cricket or baseball
56,bat,She tapped the bat on the ground before each swing.,sports equipment,a club used to hit a ball in cricket or baseball
57,bat,The wooden bat splintered on a fast inside pitch.,sports equipment,a club used to hit a ball in cricket or baseball
58,bat,He swapped to a lighter bat to improve his speed.,sports equipment,a club used to hit a ball in cricket or baseball
59,bat,The coach adjusted her grip on the bat.,sports equipment,a club used to hit a ball in cricket or baseball
60,bat,He ran out of the pavilion carrying his bat after a century.,sports equipment,a club used to hit a ball in cricket or baseball
61,bat,A bat flew silently out of the cave at dusk.,flying mammal,a nocturnal flying mammal that uses echolocation
62,bat,She spotted a bat hunting moths near the streetlamp.,flying mammal,a nocturnal flying mammal that uses echolocation
63,bat,The bat used echolocation to navigate in total darkness.,flying mammal,a nocturnal flying mammal that uses echolocation
64,bat,A colony of bats lived in the old church belfry.,flying mammal,a nocturnal flying mammal that uses echolocation
65,bat,He watched the bat swoop and dive over the pond.,flying mammal,a nocturnal flying mammal that uses echolocation
66,bat,The bat disappeared into the night after catching an insect.,flying mammal,a nocturnal flying mammal that uses echolocation
67,bat,Bats are important pollinators in many tropical ecosystems.,flying mammal,a nocturnal flying mammal that uses echolocation
68,bat,She was startled when a bat flew close to her head.,flying mammal,a nocturnal flying mammal that uses echolocation
69,bat,The bat hung upside down from the cave ceiling all day.,flying mammal,a nocturnal flying mammal that uses echolocation
70,bat,Scientists tagged the bat to track its migration pattern.,flying mammal,a nocturnal flying mammal that uses echolocation
71,bat,The brown bat roosted under the eaves of the barn.,flying mammal,a nocturnal flying mammal that uses echolocation
72,bat,"He learned that most bats eat insects, not blood.",flying mammal,a nocturnal flying mammal that uses echolocation
73,bat,The fruit bat spread seeds by eating and flying far.,flying mammal,a nocturnal flying mammal that uses echolocation
74,bat,A bat was found in the attic during the inspection.,flying mammal,a nocturnal flying mammal that uses echolocation
75,bat,The little bat could eat hundreds of mosquitoes in one night.,flying mammal,a nocturnal flying mammal that uses echolocation
76,spring,Flowers bloomed all over the park in the spring.,season,the season between winter and summer when plants begin to grow
77,spring,She planted tomatoes in her garden every spring.,season,the season between winter and summer when plants begin to grow
78,spring,The birds returned from migration in early spring.,season,the season between winter and summer when plants begin to grow
79,spring,Spring brought warmer temperatures and longer days.,season,the season between winter and summer when plants begin to grow
80,spring,He looked forward to spring after a long cold winter.,season,the season between winter and summer when plants begin to grow
81,spring,The countryside turned green almost overnight in spring.,season,the season between winter and summer when plants begin to grow
82,spring,She cleaned the entire house from top to bottom in spring.,season,the season between winter and summer when plants begin to grow
83,spring,Spring showers helped fill the reservoirs.,season,the season between winter and summer when plants begin to grow
84,spring,The lambs were born on the farm each spring.,season,the season between winter and summer when plants begin to grow
85,spring,He traded his heavy coat for a light jacket in spring.,season,the season between winter and summer when plants begin to grow
86,spring,Spring evenings were perfect for sitting outside.,season,the season between winter and summer when plants begin to grow
87,spring,The school arranged a trip to the botanical garden every spring.,season,the season between winter and summer when plants begin to grow
88,spring,Allergies flared up for many people in the spring.,season,the season between winter and summer when plants begin to grow
89,spring,She enjoyed watching the cherry blossoms open in spring.,season,the season between winter and summer when plants begin to grow
90,spring,The cricket season officially started in spring.,season,the season between winter and summer when plants begin to grow
91,spring,The spring inside the clock keeps the mechanism running.,coiled device,a coiled metal object that stores mechanical energy
92,spring,He replaced the broken spring in the car's suspension.,coiled device,a coiled metal object that stores mechanical energy
93,spring,The spring compressed when weight was placed on the mattress.,coiled device,a coiled metal object that stores mechanical energy
94,spring,A worn spring caused the pen to stop clicking properly.,coiled device,a coiled metal object that stores mechanical energy
95,spring,She stretched the spring too far and it lost tension.,coiled device,a coiled metal object that stores mechanical energy
96,spring,The engineer designed a spring to absorb shock in the device.,coiled device,a coiled metal object that stores mechanical energy
97,spring,The spring in the toy car launched it across the floor.,coiled device,a coiled metal object that stores mechanical energy
98,spring,He needed a replacement spring for the old wind-up watch.,coiled device,a coiled metal object that stores mechanical energy
99,spring,The garage door would not open because the spring had snapped.,coiled device,a coiled metal object that stores mechanical energy
100,spring,The spring in the mousetrap was loaded and ready.,coiled device,a coiled metal object that stores mechanical energy
101,spring,She tested the spring's tension with a force meter.,coiled device,a coiled metal object that stores mechanical energy
102,spring,The coil spring helped cushion the seat of the bicycle.,coiled device,a coiled metal object that stores mechanical energy
103,spring,The spring released all its stored energy at once.,coiled device,a coiled metal object that stores mechanical energy
104,spring,He lubricated the spring to prevent it from rusting.,coiled device,a coiled metal object that stores mechanical energy
105,spring,The spring in the retractable pen wore out after a year.,coiled device,a coiled metal object that stores mechanical energy
106,spring,Villagers collected fresh water from the mountain spring.,water source,a place where water flows naturally from the ground
107,spring,The spring bubbled up through the limestone rocks.,water source,a place where water flows naturally from the ground
108,spring,She filled her bottle from a natural spring on the trail.,water source,a place where water flows naturally from the ground
109,spring,The spring had been flowing for hundreds of years.,water source,a place where water flows naturally from the ground
110,spring,Hikers relied on the spring for water during long treks.,water source,a place where water flows naturally from the ground
111,spring,The water from the spring was clean and very cold.,water source,a place where water flows naturally from the ground
112,spring,A spring fed the small pond at the edge of the meadow.,water source,a place where water flows naturally from the ground
113,spring,He discovered a spring while digging in the hillside.,water source,a place where water flows naturally from the ground
114,spring,The ancient town was built around a reliable spring.,water source,a place where water flows naturally from the ground
115,spring,She tested the water quality of the spring each season.,water source,a place where water flows naturally from the ground
116,spring,The spring dried up during the severe drought that summer.,water source,a place where water flows naturally from the ground
117,spring,Locals believed the water from the spring had healing powers.,water source,a place where water flows naturally from the ground
118,spring,The farm drew its irrigation water from a nearby spring.,water source,a place where water flows naturally from the ground
119,spring,He camped near the spring to have easy access to water.,water source,a place where water flows naturally from the ground
120,spring,The spring attracted wildlife from miles around.,water source,a place where water flows naturally from the ground
121,spring,The cat sprang from the couch and landed on the windowsill.,to jump,to move suddenly upward or forward with energy
122,spring,She sprang to her feet when her name was called.,to jump,to move suddenly upward or forward with energy
123,spring,He sprang into action the moment the alarm sounded.,to jump,to move suddenly upward or forward with energy
124,spring,The athlete sprang over the hurdle with ease.,to jump,to move suddenly upward or forward with energy
125,spring,The puppy sprang up to greet its owner at the door.,to jump,to move suddenly upward or forward with energy
126,spring,She sprang back in surprise when the door opened suddenly.,to jump,to move suddenly upward or forward with energy
127,spring,He sprang forward to catch the falling vase.,to jump,to move suddenly upward or forward with energy
128,spring,The frog sprang from the lily pad into the water.,to jump,to move suddenly upward or forward with energy
129,spring,She sprang onto the stage as the crowd cheered.,to jump,to move suddenly upward or forward with energy
130,spring,He sprang out of bed to answer the early morning call.,to jump,to move suddenly upward or forward with energy
131,spring,The rabbit sprang away at the sound of footsteps.,to jump,to move suddenly upward or forward with energy
132,spring,She sprang aside to avoid the bicycle coming toward her.,to jump,to move suddenly upward or forward with energy
133,spring,He sprang to the top of the wall in one fluid motion.,to jump,to move suddenly upward or forward with energy
134,spring,The deer sprang over the fence and disappeared.,to jump,to move suddenly upward or forward with energy
135,spring,She sprang lightly from stone to stone across the stream.,to jump,to move suddenly upward or forward with energy
136,change,She changed her hairstyle for the first time in years.,to make different,to make or become different in some way
137,change,He changed the channel when the news came on.,to make different,to make or become different in some way
138,change,She changed her mind about moving abroad.,to make different,to make or become different in some way
139,change,He changed the tyres before the winter set in.,to make different,to make or become different in some way
140,change,She changed her name after getting married.,to make different,to make or become different in some way
141,change,He changed the subject whenever it came up.,to make different,to make or become different in some way
142,change,She changed her approach after the initial strategy failed.,to make different,to make or become different in some way
143,change,He changed the batteries in the smoke detector.,to make different,to make or become different in some way
144,change,She changed the meeting time to accommodate everyone.,to make different,to make or become different in some way
145,change,He changed jobs three times in five years.,to make different,to make or become different in some way
146,change,She changed her diet after the doctor's advice.,to make different,to make or become different in some way
147,change,He changed the password on all his accounts.,to make different,to make or become different in some way
148,change,She changed the locks after the break-in.,to make different,to make or become different in some way
149,change,He changed his opinion once he saw the evidence.,to make different,to make or become different in some way
150,change,She changed the layout of the office to improve flow.,to make different,to make or become different in some way
151,change,She dug through her handbag for change to pay the meter.,coins,small denomination coins
152,change,He kept a jar of change on the kitchen counter.,coins,small denomination coins
153,change,She asked the shopkeeper if he had change for a ten pound note.,coins,small denomination coins
154,change,He dropped his change on the floor of the bus.,coins,small denomination coins
155,change,She saved loose change in a piggy bank for years.,coins,small denomination coins
156,change,He used the last of his change to buy a newspaper.,coins,small denomination coins
157,change,She found some change in the pocket of her old coat.,coins,small denomination coins
158,change,He tipped the waiter with the change from his wallet.,coins,small denomination coins
159,change,She could not pay exactly because she had no change.,coins,small denomination coins
160,change,He sorted his change into different denominations.,coins,small denomination coins
161,change,She fed the parking machine with exact change.,coins,small denomination coins
162,change,He left the change on the counter as a tip.,coins,small denomination coins
163,change,She gave the busker the change from her coffee.,coins,small denomination coins
164,change,He ran out of change before the laundry was finished.,coins,small denomination coins
165,change,She offered to break a note to get change for the bus.,coins,small denomination coins
166,change,The cashier gave her the wrong change for the transaction.,money returned,money returned when you pay more than the cost of an item
167,change,He counted the change before leaving the till.,money returned,money returned when you pay more than the cost of an item
168,change,She realised the change was short by fifty pence.,money returned,money returned when you pay more than the cost of an item
169,change,He tucked the change into his jacket pocket.,money returned,money returned when you pay more than the cost of an item
170,change,She asked for her change in coins rather than a note.,money returned,money returned when you pay more than the cost of an item
171,change,He left the change on the counter and said keep it.,money returned,money returned when you pay more than the cost of an item
172,change,She double-checked the change before walking away.,money returned,money returned when you pay more than the cost of an item
173,change,He was short-changed and went back to complain.,money returned,money returned when you pay more than the cost of an item
174,change,She received her change in an envelope at the checkout.,money returned,money returned when you pay more than the cost of an item
175,change,He handed over a note and waited for his change.,money returned,money returned when you pay more than the cost of an item
176,change,She calculated that the change was correct.,money returned,money returned when you pay more than the cost of an item
177,change,He gave the exact amount to avoid waiting for change.,money returned,money returned when you pay more than the cost of an item
178,change,She pocketed the change and headed out of the shop.,money returned,money returned when you pay more than the cost of an item
179,change,He was given change in a foreign currency by mistake.,money returned,money returned when you pay more than the cost of an item
180,change,She checked that the change matched the receipt total.,money returned,money returned when you pay more than the cost of an item
181,tie,He knotted his tie carefully in the mirror before the interview.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
182,tie,She bought him a silk tie for his birthday.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
183,tie,He wore a striped tie to match the company colours.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
184,tie,She straightened his tie before he walked into the boardroom.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
185,tie,He lost his tie somewhere during the evening.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
186,tie,She complained that he never knew how to knot a tie properly.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
187,tie,He loosened his tie as the evening wore on.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
188,tie,She ironed his tie and hung it on the wardrobe door.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
189,tie,He wore a bow tie to the black-tie dinner.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
190,tie,She admired the tie he was wearing at the ceremony.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
191,tie,He collected novelty ties but wore plain ones to work.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
192,tie,She chose a dark tie for the funeral.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
193,tie,He tucked the tie into his shirt while eating lunch.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
194,tie,She could tell he was uncomfortable in the tie.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
195,tie,He received a set of ties from his colleagues as a leaving gift.,neckwear,a strip of cloth worn knotted around the collar as part of formal dress
196,tie,The match ended in a tie after extra time.,equal score,a result in a contest where both sides finish with the same score
197,tie,She accepted the tie and looked forward to the replay.,equal score,a result in a contest where both sides finish with the same score
198,tie,He was disappointed that a great game had ended in a tie.,equal score,a result in a contest where both sides finish with the same score
199,tie,The cup tie would be decided on penalties.,equal score,a result in a contest where both sides finish with the same score
200,tie,She predicted a tie given how evenly matched the sides were.,equal score,a result in a contest where both sides finish with the same score
201,tie,He called the tie a fair result.,equal score,a result in a contest where both sides finish with the same score
202,tie,She broke the tie with a single point in the last second.,equal score,a result in a contest where both sides finish with the same score
203,tie,He agreed to split the prize money given the tie.,equal score,a result in a contest where both sides finish with the same score
204,tie,The tie had to be broken by the judges.,equal score,a result in a contest where both sides finish with the same score
205,tie,She was surprised that the competition ended in a tie.,equal score,a result in a contest where both sides finish with the same score
206,tie,He proposed a sudden death round to resolve the tie.,equal score,a result in a contest where both sides finish with the same score
207,tie,The vote ended in a tie and the chair cast the deciding vote.,equal score,a result in a contest where both sides finish with the same score
208,tie,She had never seen a tie at that level of competition.,equal score,a result in a contest where both sides finish with the same score
209,tie,He noted that a tie in the group stage would not be enough.,equal score,a result in a contest where both sides finish with the same score
210,tie,The tie was not unusual given the defensive nature of both teams.,equal score,a result in a contest where both sides finish with the same score
211,tie,She tied her shoelaces quickly before running out the door.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
212,tie,He tied the parcel with string and handed it over.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
213,tie,She tied her hair back in a ponytail.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
214,tie,He tied the boat to the mooring ring.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
215,tie,She tied the label to the key and hung it on the hook.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
216,tie,He tied the knot three times to make sure it would hold.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
217,tie,She tied the balloon to the gate for the party.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
218,tie,He tied the dog to the post outside the shop.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
219,tie,She tied the ribbon into a bow on the gift.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
220,tie,He tied the branches together to form a makeshift shelter.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
221,tie,She tied the garbage bag and left it outside.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
222,tie,He tied the tomato plant to the cane in the garden.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
223,tie,She tied the corners of the blanket to the tree to make a hammock.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
224,tie,He tied his jacket around his waist when it got too warm.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
225,tie,She tied the curtains back to let in more light.,to fasten,"to fasten, attach, or secure something with string, cord, or rope"
226,kind,What kind of music do you enjoy most?,type/category,a group of things that share a characteristic; a type or sort
227,kind,She had never seen a machine of that kind before.,type/category,a group of things that share a characteristic; a type or sort
228,kind,He was unsure what kind of job he was looking for.,type/category,a group of things that share a characteristic; a type or sort
229,kind,She ordered a salad of some kind at the cafe.,type/category,a group of things that share a characteristic; a type or sort
230,kind,He preferred the kind of holiday where nothing was planned.,type/category,a group of things that share a characteristic; a type or sort
231,kind,She did not know what kind of creature left the tracks.,type/category,a group of things that share a characteristic; a type or sort
232,kind,He collected every kind of stamp he could find.,type/category,a group of things that share a characteristic; a type or sort
233,kind,She tried all kinds of cheese at the market.,type/category,a group of things that share a characteristic; a type or sort
234,kind,He needed a particular kind of screw for the repair.,type/category,a group of things that share a characteristic; a type or sort
235,kind,She was interested in a different kind of approach.,type/category,a group of things that share a characteristic; a type or sort
236,kind,He found a kind of satisfaction in the manual work.,type/category,a group of things that share a characteristic; a type or sort
237,kind,She described a strange kind of feeling when she arrived.,type/category,a group of things that share a characteristic; a type or sort
238,kind,He dismissed it as the kind of problem that solves itself.,type/category,a group of things that share a characteristic; a type or sort
239,kind,She had never met anyone of his kind before.,type/category,a group of things that share a characteristic; a type or sort
240,kind,He reached for the kind of book he always read on holiday.,type/category,a group of things that share a characteristic; a type or sort
241,kind,She was incredibly kind to every person she met.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
242,kind,He left a kind note for his neighbour during a difficult time.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
243,kind,She received a kind letter from a complete stranger.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
244,kind,He was known for his kind treatment of junior staff.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
245,kind,She did a kind thing by helping the elderly woman home.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
246,kind,He was too kind to say anything hurtful.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
247,kind,She smiled in a kind way that put everyone at ease.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
248,kind,He gave a kind donation to the school without being asked.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
249,kind,She thanked him for his kind words after the loss.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
250,kind,He was raised to be kind to every living creature.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
251,kind,She was kind enough to stay late and help.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
252,kind,He spoke in a kind and patient tone throughout.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
253,kind,She appreciated how kind the nurses were during her stay.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
254,kind,He wrote a kind review even though the meal was disappointing.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
255,kind,She was always the kindest person in the room.,gentle/caring,"having a generous, gentle, and considerate nature toward others"
256,mean,She was hurt by the mean comment he made in front of everyone.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
257,mean,He regretted being mean to his younger sibling.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
258,mean,She wrote a mean review out of spite.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
259,mean,He was mean about her work even though it was good.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
260,mean,She did not want to be mean but she had to be honest.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
261,mean,He was well-known for his mean streak when competing.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
262,mean,She thought it was mean to exclude him from the group.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
263,mean,He made a mean joke that no one found funny.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
264,mean,She stood up for her friend when the others were being mean.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
265,mean,He felt guilty for being mean when she had done nothing wrong.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
266,mean,She refused to laugh at the mean remark about the new student.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
267,mean,"He tried never to be mean, even when provoked.",unkind,"unkind, spiteful, or ungenerous in behaviour or character"
268,mean,She was shocked by how mean the comment section was.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
269,mean,He was mean with his praise but generous with criticism.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
270,mean,She found the prank mean rather than funny.,unkind,"unkind, spiteful, or ungenerous in behaviour or character"
271,mean,She calculated the mean score for the class.,average,the arithmetic mean; the sum of values divided by their count
272,mean,He found the mean of the ten data points.,average,the arithmetic mean; the sum of values divided by their count
273,mean,She plotted the mean temperature for each month of the year.,average,the arithmetic mean; the sum of values divided by their count
274,mean,He compared the mean salaries across the two groups.,average,the arithmetic mean; the sum of values divided by their count
275,mean,She used the mean as the benchmark in the analysis.,average,the arithmetic mean; the sum of values divided by their count
276,mean,He noted that the mean was skewed by several outliers.,average,the arithmetic mean; the sum of values divided by their count
277,mean,She explained the difference between the mean and the median.,average,the arithmetic mean; the sum of values divided by their count
278,mean,He reported the mean and standard deviation in his study.,average,the arithmetic mean; the sum of values divided by their count
279,mean,She weighted the scores before calculating the mean.,average,the arithmetic mean; the sum of values divided by their count
280,mean,He subtracted the mean from each value to find the deviation.,average,the arithmetic mean; the sum of values divided by their count
281,mean,She checked that the mean was consistent across all samples.,average,the arithmetic mean; the sum of values divided by their count
282,mean,He presented the mean on the graph as a horizontal line.,average,the arithmetic mean; the sum of values divided by their count
283,mean,She calculated the running mean as new data came in.,average,the arithmetic mean; the sum of values divided by their count
284,mean,He used the geometric mean rather than the arithmetic mean.,average,the arithmetic mean; the sum of values divided by their count
285,mean,She found the mean of the distribution and compared it to the mode.,average,the arithmetic mean; the sum of values divided by their count
286,mean,She did not mean to upset anyone with her remark.,to intend,"to have a particular purpose, intention, or significance"
287,mean,He meant what he said about wanting to help.,to intend,"to have a particular purpose, intention, or significance"
288,mean,She asked what the strange symbol was meant to mean.,to intend,"to have a particular purpose, intention, or significance"
289,mean,He was not sure what she meant by the comment.,to intend,"to have a particular purpose, intention, or significance"
290,mean,She explained what she had meant all along.,to intend,"to have a particular purpose, intention, or significance"
291,mean,He meant to call earlier but forgot.,to intend,"to have a particular purpose, intention, or significance"
292,mean,She meant the gift as a token of thanks.,to intend,"to have a particular purpose, intention, or significance"
293,mean,He did not mean it as an insult.,to intend,"to have a particular purpose, intention, or significance"
294,mean,She asked if he really meant it when he apologised.,to intend,"to have a particular purpose, intention, or significance"
295,mean,He meant the silence as a form of protest.,to intend,"to have a particular purpose, intention, or significance"
296,mean,She meant to arrive earlier but was held up in traffic.,to intend,"to have a particular purpose, intention, or significance"
297,mean,He meant no harm by the question.,to intend,"to have a particular purpose, intention, or significance"
298,mean,She said she meant it and she hoped he believed her.,to intend,"to have a particular purpose, intention, or significance"
299,mean,He was meant to lead the session but changed his plans.,to intend,"to have a particular purpose, intention, or significance"
300,mean,She meant the compliment sincerely.,to intend,"to have a particular purpose, intention, or significance"
301,charge,She plugged in her phone to get a full charge overnight.,electricity stored,the amount of electrical energy stored in a battery or device
302,charge,He checked the charge on the battery before the long drive.,electricity stored,the amount of electrical energy stored in a battery or device
303,charge,The laptop ran out of charge during the presentation.,electricity stored,the amount of electrical energy stored in a battery or device
304,charge,She left the power bank to charge before the trip.,electricity stored,the amount of electrical energy stored in a battery or device
305,charge,He measured the charge remaining in the battery cells.,electricity stored,the amount of electrical energy stored in a battery or device
306,charge,The electric car needed a full charge for the motorway journey.,electricity stored,the amount of electrical energy stored in a battery or device
307,charge,She connected the device to the mains to top up the charge.,electricity stored,the amount of electrical energy stored in a battery or device
308,charge,He noticed the charge indicator was flashing red.,electricity stored,the amount of electrical energy stored in a battery or device
309,charge,She carried a portable charger to maintain the charge on her phone.,electricity stored,the amount of electrical energy stored in a battery or device
310,charge,He calculated how long the charge would last at that usage rate.,electricity stored,the amount of electrical energy stored in a battery or device
311,charge,The battery held its charge well even after two years.,electricity stored,the amount of electrical energy stored in a battery or device
312,charge,She set the device to charge wirelessly on the pad.,electricity stored,the amount of electrical energy stored in a battery or device
313,charge,He replaced the battery because it would no longer hold a charge.,electricity stored,the amount of electrical energy stored in a battery or device
314,charge,She checked the charge before heading out for the day.,electricity stored,the amount of electrical energy stored in a battery or device
315,charge,The solar panel was used to charge the battery bank.,electricity stored,the amount of electrical energy stored in a battery or device
316,charge,He was released after the charge was dropped.,accusation,a formal accusation that someone has committed a crime
317,charge,She faced a charge of fraud following the investigation.,accusation,a formal accusation that someone has committed a crime
318,charge,He pleaded not guilty to the charge at the hearing.,accusation,a formal accusation that someone has committed a crime
319,charge,She was relieved when the charge did not proceed to trial.,accusation,a formal accusation that someone has committed a crime
320,charge,He read the charge aloud in the courtroom.,accusation,a formal accusation that someone has committed a crime
